Model,MSE,RMSE,R2,MAE
Normal Equation,4867205486.928865,69765.36022216803,0.6195057678311999,50352.22825794298
Gradient Descent,4866229635.297846,69758.36605954762,0.6195820551213201,50341.80396825744
Sklearn LinearRegression,4867205486.9288645,69765.36022216802,0.6195057678312001,50352.22825794298
